,SNID,time,flux,fluxerr,object_index,band_index,norm_factor
4324,6808.0,12.0,0.7993640681471662,0.004053756604650387,22,0,"[65.169525, 66.934845]"
4327,6808.0,18.0,0.6996600948280377,0.0038656660816948183,22,0,"[65.169525, 66.934845]"
4376,3457.0,-6.0,0.4767354964503829,0.03525445419675632,23,1,"[4.2196946, 15.33087]"
4379,3457.0,0.0,1.0,0.036971365178892324,23,1,"[4.2196946, 15.33087]"
4382,3457.0,6.0,0.7480976940843065,0.03615501226083992,23,1,"[4.2196946, 15.33087]"
4385,3457.0,12.0,0.4786609438512445,0.03526092385927645,23,1,"[4.2196946, 15.33087]"
4388,3457.0,18.0,0.3737869086544794,0.034906722870418155,23,1,"[4.2196946, 15.33087]"
4476,3457.0,-6.0,0.8981549644605947,0.012007644054120869,23,0,"[4.2196946, 15.33087]"
4479,3457.0,0.0,1.0,0.01228115038481182,23,0,"[4.2196946, 15.33087]"
4482,3457.0,6.0,0.9288212606329581,0.012090649780475603,23,0,"[4.2196946, 15.33087]"
4485,3457.0,12.0,0.7366669341009349,0.011560709861866938,23,0,"[4.2196946, 15.33087]"
4488,3457.0,18.0,0.5371119838600158,0.010983325799514313,23,0,"[4.2196946, 15.33087]"
4591,5324.0,-6.0,0.8561336895399371,0.0019482941321455893,24,1,"[247.00272, 251.99474]"
4594,5324.0,0.0,1.0,0.0020924382937969263,24,1,"[247.00272, 251.99474]"
4597,5324.0,6.0,0.598052563955571,0.0016586134759973494,24,1,"[247.00272, 251.99474]"
4600,5324.0,12.0,0.25015211978232466,0.001158667523985161,24,1,"[247.00272, 251.99474]"
4603,5324.0,18.0,0.0886247487477061,0.0008297954370704905,24,1,"[247.00272, 251.99474]"
4699,5324.0,-6.0,0.8231655946469358,0.0018929929251697872,24,0,"[247.00272, 251.99474]"
4702,5324.0,0.0,1.0,0.0020700630497287363,24,0,"[247.00272, 251.99474]"
4705,5324.0,6.0,0.7026136736028696,0.0017621099551522383,24,0,"[247.00272, 251.99474]"
4708,5324.0,12.0,0.3686543615950079,0.001334079711346356,24,0,"[247.00272, 251.99474]"
4711,5324.0,18.0,0.17001061212626897,0.0009957326887061215,24,0,"[247.00272, 251.99474]"
4799,10025.0,-6.0,-0.0006427818144180233,0.0008060410158837056,25,1,"[3.2306158542633057, 10.544044494628906]"
4802,10025.0,0.0,1.0,0.0008011582700485164,25,1,"[3.2306158542633057, 10.544044494628906]"
4805,10025.0,6.0,0.02333308779548027,0.0033045962564348516,25,1,"[3.2306158542633057, 10.544044494628906]"
4808,10025.0,12.0,0.008693596134480812,0.0006910324961660846,25,1,"[3.2306158542633057, 10.544044494628906]"
4811,10025.0,18.0,0.0024003616002290476,0.001403616531573184,25,1,"[3.2306158542633057, 10.544044494628906]"
4878,10025.0,-6.0,-0.0004886960330381982,0.00036561545974280124,25,0,"[3.2306158542633057, 10.544044494628906]"
4881,10025.0,0.0,1.0,0.00044128423842487377,25,0,"[3.2306158542633057, 10.544044494628906]"
4884,10025.0,6.0,0.030222248185457757,0.0002661044291298725,25,0,"[3.2306158542633057, 10.544044494628906]"
4887,10025.0,12.0,0.005832246988056143,0.0002145210000398341,25,0,"[3.2306158542633057, 10.544044494628906]"
4890,10025.0,18.0,0.0008153832522915566,0.0004580002775103389,25,0,"[3.2306158542633057, 10.544044494628906]"
4957,10028.0,-6.0,0.0004238166794818872,0.0025008590250388167,26,1,"[1.9828461408615112, 10.583647727966309]"
4960,10028.0,0.0,1.0,0.0014019317097056355,26,1,"[1.9828461408615112, 10.583647727966309]"
4963,10028.0,6.0,0.10228629806234099,0.0011321353224061817,26,1,"[1.9828461408615112, 10.583647727966309]"
4966,10028.0,12.0,0.04546099984615213,0.004680654553219326,26,1,"[1.9828461408615112, 10.583647727966309]"
4969,10028.0,18.0,0.021784834028013247,0.005012452340389767,26,1,"[1.9828461408615112, 10.583647727966309]"
5035,10028.0,-6.0,0.00016712701650508212,0.0003237811451111356,26,0,"[1.9828461408615112, 10.583647727966309]"
5038,10028.0,0.0,1.0,0.0002682605398362365,26,0,"[1.9828461408615112, 10.583647727966309]"
5041,10028.0,6.0,0.08530218803634139,0.00027129388468343586,26,0,"[1.9828461408615112, 10.583647727966309]"
5044,10028.0,12.0,0.02284514715989057,0.0004448684171704121,26,0,"[1.9828461408615112, 10.583647727966309]"
5047,10028.0,18.0,0.007308992518219211,0.00030594208113322115,26,0,"[1.9828461408615112, 10.583647727966309]"
5113,10047.0,-6.0,-0.004523678778477016,0.018686006540853776,27,1,"[0.1627841740846634, 0.4965676367282867]"
5116,10047.0,0.0,1.0,0.012904884653066634,27,1,"[0.1627841740846634, 0.4965676367282867]"
5119,10047.0,6.0,0.02302443787730786,0.014482807464047068,27,1,"[0.1627841740846634, 0.4965676367282867]"
5122,10047.0,12.0,-0.003243044026044159,0.01754258108397433,27,1,"[0.1627841740846634, 0.4965676367282867]"
5125,10047.0,18.0,-0.0017024303034087727,0.021026845660314594,27,1,"[0.1627841740846634, 0.4965676367282867]"
5196,10047.0,-6.0,-0.00033313380378495526,0.009017454602661233,27,0,"[0.1627841740846634, 0.4965676367282867]"
5199,10047.0,0.0,1.0,0.01395432984816684,27,0,"[0.1627841740846634, 0.4965676367282867]"
5202,10047.0,6.0,0.0530246999993097,0.006197535138993871,27,0,"[0.1627841740846634, 0.4965676367282867]"
